Time,    0-1000 us
12/13/2023 12:56,5.91 K
12/13/2023 12:56,5.91 K
12/13/2023 12:56,5.91 K
12/13/2023 12:56,5.91 K
12/13/2023 12:56,6.60 K
12/13/2023 12:56,6.60 K
12/13/2023 12:56,6.60 K
12/13/2023 12:56,6.60 K
12/13/2023 12:56,6.60 K
12/13/2023 12:56,6.46 K
12/13/2023 12:56,6.46 K
12/13/2023 12:57,6.46 K
12/13/2023 12:57,6.46 K
12/13/2023 12:57,6.46 K
12/13/2023 12:57,6.61 K
12/13/2023 12:57,6.61 K
12/13/2023 12:57,6.61 K
12/13/2023 12:57,6.61 K
12/13/2023 12:57,6.61 K
12/13/2023 12:57,6.68 K
12/13/2023 12:57,6.68 K
12/13/2023 12:57,6.68 K
12/13/2023 12:57,6.68 K
12/13/2023 12:57,6.68 K
12/13/2023 12:57,6.60 K
12/13/2023 12:57,6.60 K
12/13/2023 12:57,6.60 K
12/13/2023 12:57,6.60 K
12/13/2023 12:57,6.60 K
12/13/2023 12:57,6.52 K
12/13/2023 12:57,6.52 K
12/13/2023 12:57,6.52 K
12/13/2023 12:57,6.52 K
12/13/2023 12:57,6.52 K
12/13/2023 12:57,6.68 K
12/13/2023 12:57,6.68 K
12/13/2023 12:57,6.68 K
12/13/2023 12:57,6.68 K
12/13/2023 12:57,6.68 K
12/13/2023 12:57,6.65 K
12/13/2023 12:57,6.65 K
12/13/2023 12:57,6.65 K
12/13/2023 12:57,6.65 K
12/13/2023 12:57,6.65 K
12/13/2023 12:57,6.64 K
12/13/2023 12:57,6.64 K
12/13/2023 12:57,6.64 K
12/13/2023 12:57,6.64 K
12/13/2023 12:57,6.64 K
12/13/2023 12:57,6.53 K
12/13/2023 12:57,6.53 K
12/13/2023 12:57,6.53 K
12/13/2023 12:57,6.53 K
12/13/2023 12:57,6.53 K
12/13/2023 12:57,6.65 K
12/13/2023 12:57,6.65 K
12/13/2023 12:57,6.65 K
12/13/2023 12:57,6.65 K
12/13/2023 12:57,6.65 K
12/13/2023 12:57,6.55 K
12/13/2023 12:57,6.55 K
12/13/2023 12:57,6.55 K
12/13/2023 12:57,6.55 K
12/13/2023 12:57,6.55 K
12/13/2023 12:57,6.62 K
12/13/2023 12:57,6.62 K
12/13/2023 12:57,6.62 K
12/13/2023 12:57,6.62 K
12/13/2023 12:57,6.62 K
12/13/2023 12:57,6.47 K
12/13/2023 12:57,6.47 K
12/13/2023 12:58,6.47 K
12/13/2023 12:58,6.47 K
12/13/2023 12:58,3.92 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.57 K
12/13/2023 12:58,6.57 K
12/13/2023 12:58,6.57 K
12/13/2023 12:58,6.57 K
12/13/2023 12:58,6.57 K
12/13/2023 12:58,6.59 K
12/13/2023 12:58,6.59 K
12/13/2023 12:58,6.59 K
12/13/2023 12:58,6.59 K
12/13/2023 12:58,6.59 K
12/13/2023 12:58,6.40 K
12/13/2023 12:58,6.40 K
12/13/2023 12:58,6.40 K
12/13/2023 12:58,6.40 K
12/13/2023 12:58,6.40 K
12/13/2023 12:58,6.57 K
12/13/2023 12:58,6.57 K
12/13/2023 12:58,6.57 K
12/13/2023 12:58,6.57 K
12/13/2023 12:58,6.57 K
12/13/2023 12:58,6.63 K
12/13/2023 12:58,6.63 K
12/13/2023 12:58,6.63 K
12/13/2023 12:58,6.63 K
12/13/2023 12:58,6.63 K
12/13/2023 12:58,6.58 K
12/13/2023 12:58,6.58 K
12/13/2023 12:58,6.58 K
12/13/2023 12:58,6.58 K
12/13/2023 12:58,6.58 K
12/13/2023 12:58,6.62 K
12/13/2023 12:58,6.62 K
12/13/2023 12:58,6.62 K
12/13/2023 12:58,6.62 K
12/13/2023 12:58,6.62 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.59 K
12/13/2023 12:58,6.59 K
12/13/2023 12:58,6.59 K
12/13/2023 12:58,6.59 K
12/13/2023 12:58,6.59 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.60 K
12/13/2023 12:58,6.56 K
12/13/2023 12:58,6.56 K
12/13/2023 12:59,6.56 K
12/13/2023 12:59,6.56 K
12/13/2023 12:59,6.56 K
12/13/2023 12:59,6.50 K
12/13/2023 12:59,6.50 K
12/13/2023 12:59,6.50 K
12/13/2023 12:59,6.50 K
12/13/2023 12:59,6.50 K
12/13/2023 12:59,6.63 K
12/13/2023 12:59,6.63 K
12/13/2023 12:59,6.63 K
12/13/2023 12:59,6.63 K
12/13/2023 12:59,6.63 K
12/13/2023 12:59,7.35 K
12/13/2023 12:59,6.48 K
12/13/2023 12:59,6.48 K
12/13/2023 12:59,6.48 K
12/13/2023 12:59,6.48 K
12/13/2023 12:59,6.37 K
12/13/2023 12:59,6.37 K
12/13/2023 12:59,6.37 K
12/13/2023 12:59,6.37 K
12/13/2023 12:59,6.37 K
12/13/2023 12:59,6.47 K
12/13/2023 12:59,6.47 K
12/13/2023 12:59,6.47 K
12/13/2023 12:59,6.47 K
12/13/2023 12:59,6.47 K
12/13/2023 12:59,6.47 K
12/13/2023 12:59,6.47 K
12/13/2023 12:59,6.47 K
12/13/2023 12:59,6.47 K
12/13/2023 12:59,6.47 K
12/13/2023 12:59,6.49 K
12/13/2023 12:59,6.49 K
12/13/2023 12:59,6.49 K
12/13/2023 12:59,6.49 K
12/13/2023 12:59,6.49 K
12/13/2023 12:59,6.38 K
12/13/2023 12:59,6.38 K
12/13/2023 12:59,6.38 K
12/13/2023 12:59,6.38 K
12/13/2023 12:59,6.38 K
12/13/2023 12:59,6.46 K
12/13/2023 12:59,6.46 K
12/13/2023 12:59,6.46 K
12/13/2023 12:59,6.46 K
12/13/2023 12:59,6.46 K
12/13/2023 12:59,6.42 K
12/13/2023 12:59,6.42 K
12/13/2023 12:59,6.42 K
12/13/2023 12:59,6.42 K
12/13/2023 12:59,6.42 K
12/13/2023 12:59,6.46 K
12/13/2023 12:59,6.46 K
12/13/2023 12:59,6.46 K
