Time,200
12/13/2023 13:02,1.66 K
12/13/2023 13:02,1.66 K
12/13/2023 13:02,2.16 K
12/13/2023 13:02,2.16 K
12/13/2023 13:02,2.36 K
12/13/2023 13:02,2.36 K
12/13/2023 13:02,2.36 K
12/13/2023 13:02,1.98 K
12/13/2023 13:02,1.98 K
12/13/2023 13:02,2.00 K
12/13/2023 13:02,2.00 K
12/13/2023 13:02,2.00 K
12/13/2023 13:02,1.96 K
12/13/2023 13:02,1.96 K
12/13/2023 13:02,1.43 K
12/13/2023 13:03,1.43 K
12/13/2023 13:03,1.43 K
12/13/2023 13:03,1.14 K
12/13/2023 13:03,1.14 K
12/13/2023 13:03,715
12/13/2023 13:03,715
12/13/2023 13:03,715
12/13/2023 13:03,358
12/13/2023 13:03,358
12/13/2023 13:03,556
12/13/2023 13:03,556
12/13/2023 13:03,556
12/13/2023 13:03,1.35 K
12/13/2023 13:03,1.35 K
12/13/2023 13:03,1.96 K
12/13/2023 13:03,1.96 K
12/13/2023 13:03,1.96 K
12/13/2023 13:03,1.86 K
12/13/2023 13:03,1.86 K
12/13/2023 13:03,1.93 K
12/13/2023 13:03,1.93 K
12/13/2023 13:03,1.93 K
12/13/2023 13:03,1.76 K
12/13/2023 13:03,1.76 K
12/13/2023 13:03,1.86 K
12/13/2023 13:03,1.86 K
12/13/2023 13:03,1.86 K
12/13/2023 13:03,1.67 K
12/13/2023 13:03,1.67 K
12/13/2023 13:03,846
12/13/2023 13:04,846
12/13/2023 13:04,846
12/13/2023 13:04,515
12/13/2023 13:04,515
12/13/2023 13:04,690
12/13/2023 13:04,690
12/13/2023 13:04,690
12/13/2023 13:04,461
12/13/2023 13:04,461
12/13/2023 13:04,508
12/13/2023 13:04,508
12/13/2023 13:04,508
12/13/2023 13:04,1.13 K
12/13/2023 13:04,1.13 K
12/13/2023 13:04,1.42 K
12/13/2023 13:04,1.42 K
12/13/2023 13:04,1.42 K
12/13/2023 13:04,1.82 K
12/13/2023 13:04,1.82 K
12/13/2023 13:04,1.74 K
12/13/2023 13:04,1.74 K
12/13/2023 13:04,1.74 K
12/13/2023 13:04,1.61 K
12/13/2023 13:04,1.61 K
12/13/2023 13:04,1.68 K
12/13/2023 13:04,1.68 K
12/13/2023 13:04,1.68 K
12/13/2023 13:04,1.57 K
12/13/2023 13:04,1.57 K
12/13/2023 13:04,1.02 K
12/13/2023 13:05,1.02 K
12/13/2023 13:05,701
12/13/2023 13:05,751
12/13/2023 13:05,751
12/13/2023 13:05,654
12/13/2023 13:05,654
12/13/2023 13:05,654
12/13/2023 13:05,799
12/13/2023 13:05,799
12/13/2023 13:05,349
12/13/2023 13:05,349
12/13/2023 13:05,349
12/13/2023 13:05,843
12/13/2023 13:05,843
12/13/2023 13:05,1.20 K
12/13/2023 13:05,1.20 K
12/13/2023 13:05,1.02 K
12/13/2023 13:05,1.58 K
12/13/2023 13:05,1.58 K
12/13/2023 13:05,1.46 K
12/13/2023 13:05,1.46 K
12/13/2023 13:05,1.46 K
12/13/2023 13:05,1.45 K
12/13/2023 13:05,1.45 K
12/13/2023 13:05,1.44 K
12/13/2023 13:05,1.44 K
12/13/2023 13:05,1.44 K
12/13/2023 13:05,1.45 K
12/13/2023 13:05,1.45 K
12/13/2023 13:05,1.39 K
12/13/2023 13:06,1.39 K
12/13/2023 13:06,1.39 K
12/13/2023 13:06,1.04 K
12/13/2023 13:06,1.04 K
12/13/2023 13:06,873
12/13/2023 13:06,873
12/13/2023 13:06,873
12/13/2023 13:06,1.22 K
12/13/2023 13:06,1.22 K
12/13/2023 13:06,1.67 K
12/13/2023 13:06,1.67 K
12/13/2023 13:06,1.67 K
12/13/2023 13:06,1.70 K
12/13/2023 13:06,1.70 K
12/13/2023 13:06,1.66 K
12/13/2023 13:06,1.66 K
12/13/2023 13:06,849
12/13/2023 13:06,1.64 K
